Subject,Running,StimPic#ACC,StimPic#RT
2,Lx1,0,0
2,Lx1,1,655
2,Lx1,1,482
2,Lx1,1,507
2,Lx1,1,473
2,Lx1,1,485
2,Lx1,1,459
2,Lx1,1,629
2,Lx1,1,617
2,Lx1,1,426
2,Lx1,1,604
2,Lx1,1,495
2,Lx1,1,621
2,Lx1,1,552
2,Lx1,1,831
2,Lx1,1,696
2,Lx1,1,545
2,Lx1,1,557
2,Lx1,1,561
2,Lx1,1,593
2,Lx1,1,542
2,Lx1,1,644
2,Lx1,1,545
2,Lx1,1,555
2,Ex1,1,756
2,Ex1,1,477
2,Ex1,1,624
2,Ex1,1,506
2,Ex1,1,471
2,Ex1,1,536
2,Ex1,1,561
2,Ex1,1,728
2,Ex1,1,604
2,Ex1,1,578
2,Ex1,1,480
2,Ex1,1,560
2,Ex1,1,515
2,Ex1,1,510
2,Ex1,1,494
2,Ex1,1,614
2,Ex1,1,520
2,Ex1,1,658
2,Ex1,1,546
2,Ex1,1,494
2,Ex1,1,654
2,Ex1,1,563
2,Ex1,1,503
2,Ex1,0,542
2,Ex1,1,713
2,Ex1,1,713
2,Ex1,1,649
2,Ex1,1,522
2,Ex1,1,652
2,Ex1,1,546
2,Ex1,1,600
2,Ex1,1,622
2,Ex1,1,547
2,Ex1,1,495
2,Ex1,1,540
2,Ex1,1,521
2,Ex1,1,503
2,Ex1,1,499
2,Ex1,1,430
2,Ex1,1,534
2,Ex1,1,588
2,Ex1,1,504
2,Ex1,1,508
2,Ex1,1,556
2,Ex1,1,645
2,Ex1,1,750
2,Ex1,1,581
2,Ex1,1,546
2,Ex1,1,586
2,Ex1,1,613
2,Ex1,1,677
2,Ex1,1,620
2,Ex1,1,508
2,Ex1,1,547
2,Ex1,1,523
2,Ex1,1,615
2,Ex1,1,537
2,Ex1,1,637
2,Ex1,1,505
2,Ex1,1,577
2,Ex1,1,624
2,Ex1,1,643
2,Ex1,1,517
2,Ex1,1,531
2,Ex1,1,679
2,Ex1,1,542
2,Ex1,1,503
2,Ex1,1,624
2,Ex1,1,572
2,Ex1,1,649
2,Ex1,1,587
2,Ex1,1,424
2,Lx2,0,0
2,Lx2,1,496
2,Lx2,1,889
2,Lx2,1,728
2,Lx2,1,529
2,Lx2,1,488
2,Lx2,1,518
2,Lx2,1,620
2,Lx2,1,612
2,Lx2,1,646
2,Lx2,1,607
2,Lx2,1,680
2,Lx2,1,628
2,Lx2,1,643
2,Lx2,1,721
2,Lx2,1,703
2,Lx2,1,651
2,Lx2,1,529
2,Lx2,1,749
2,Lx2,1,690
2,Lx2,1,734
2,Lx2,1,684
2,Lx2,1,548
2,Lx2,1,600
2,Ex2,1,617
2,Ex2,1,527
2,Ex2,1,492
2,Ex2,1,557
2,Ex2,1,535
2,Ex2,1,697
2,Ex2,1,422
2,Ex2,1,734
2,Ex2,1,646
2,Ex2,1,619
2,Ex2,1,524
2,Ex2,1,536
2,Ex2,1,706
2,Ex2,1,513
2,Ex2,1,611
2,Ex2,1,647
2,Ex2,1,671
2,Ex2,1,578
2,Ex2,1,796
2,Ex2,1,647
2,Ex2,0,743
2,Ex2,1,787
2,Ex2,1,516
2,Ex2,1,826
2,Ex2,1,706
2,Ex2,1,509
2,Ex2,1,524
2,Ex2,1,613
2,Ex2,1,618
2,Ex2,1,514
2,Ex2,1,548
2,Ex2,1,630
2,Ex2,1,498
2,Ex2,1,783
2,Ex2,1,479
2,Ex2,1,611
2,Ex2,1,524
2,Ex2,1,595
2,Ex2,1,582
2,Ex2,1,530
2,Ex2,1,532
2,Ex2,1,713
2,Ex2,1,533
2,Ex2,1,512
2,Ex2,1,625
2,Ex2,1,550
2,Ex2,1,637
2,Ex2,1,606
2,Ex2,1,609
2,Ex2,1,530
2,Ex2,0,506
2,Ex2,1,711
2,Ex2,1,629
2,Ex2,1,490
2,Ex2,1,526
2,Ex2,1,598
2,Ex2,1,619
2,Ex2,1,715
2,Ex2,1,602
2,Ex2,1,555
2,Ex2,1,624
2,Ex2,1,608
2,Ex2,1,560
2,Ex2,1,633
2,Ex2,1,548
2,Ex2,1,689
2,Ex2,1,557
2,Ex2,1,544
2,Ex2,1,703
2,Ex2,1,583
2,Ex2,1,619
2,Ex2,1,603
3,Lx1,0,0
3,Lx1,1,655
3,Lx1,1,482
3,Lx1,1,507
3,Lx1,1,473
3,Lx1,1,485
3,Lx1,1,459
3,Lx1,1,629
3,Lx1,1,617
3,Lx1,1,426
3,Lx1,1,604
3,Lx1,1,495
3,Lx1,1,621
3,Lx1,1,552
3,Lx1,1,831
3,Lx1,1,696
3,Lx1,1,545
3,Lx1,1,557
3,Lx1,1,561
3,Lx1,1,593
3,Lx1,1,542
3,Lx1,1,644
3,Lx1,1,545
3,Lx1,1,555
3,Ex1,1,756
3,Ex1,1,477
3,Ex1,1,624
3,Ex1,1,506
3,Ex1,1,471
3,Ex1,1,536
3,Ex1,1,561
3,Ex1,1,728
3,Ex1,1,604
3,Ex1,1,578
3,Ex1,1,480
3,Ex1,1,560
3,Ex1,1,515
3,Ex1,1,510
3,Ex1,1,494
3,Ex1,1,614
3,Ex1,1,520
3,Ex1,1,658
3,Ex1,1,546
3,Ex1,1,494
3,Ex1,1,654
3,Ex1,1,563
3,Ex1,1,503
3,Ex1,0,542
3,Ex1,1,713
3,Ex1,1,713
3,Ex1,1,649
3,Ex1,1,522
3,Ex1,1,652
3,Ex1,1,546
3,Ex1,1,600
3,Ex1,1,622
3,Ex1,1,547
3,Ex1,1,495
3,Ex1,1,540
3,Ex1,1,521
3,Ex1,1,503
3,Ex1,1,499
3,Ex1,1,430
3,Ex1,1,534
3,Ex1,1,588
3,Ex1,1,504
3,Ex1,1,508
3,Ex1,1,556
3,Ex1,1,645
3,Ex1,1,750
3,Ex1,1,581
3,Ex1,1,546
3,Ex1,1,586
3,Ex1,1,613
3,Ex1,1,677
3,Ex1,1,620
3,Ex1,1,508
3,Ex1,1,547
3,Ex1,1,523
3,Ex1,1,615
3,Ex1,1,537
3,Ex1,1,637
3,Ex1,1,505
3,Ex1,1,577
3,Ex1,1,624
3,Ex1,1,643
3,Ex1,1,517
3,Ex1,1,531
3,Ex1,1,679
3,Ex1,1,542
3,Ex1,1,503
3,Ex1,1,624
3,Ex1,1,572
3,Ex1,1,649
3,Ex1,1,587
3,Ex1,1,424
3,Lx2,0,0
3,Lx2,1,496
3,Lx2,1,889
3,Lx2,1,728
3,Lx2,1,529
3,Lx2,1,488
3,Lx2,1,518
3,Lx2,1,620
3,Lx2,1,612
3,Lx2,1,646
3,Lx2,1,607
3,Lx2,1,680
3,Lx2,1,628
3,Lx2,1,643
3,Lx2,1,721
3,Lx2,1,703
3,Lx2,1,651
3,Lx2,1,529
3,Lx2,1,749
3,Lx2,1,690
3,Lx2,1,734
3,Lx2,1,684
3,Lx2,1,548
3,Lx2,1,600
3,Ex2,1,617
3,Ex2,1,527
3,Ex2,1,492
3,Ex2,1,557
3,Ex2,1,535
3,Ex2,1,697
3,Ex2,1,422
3,Ex2,1,734
3,Ex2,1,646
3,Ex2,1,619
3,Ex2,1,524
3,Ex2,1,536
3,Ex2,1,706
3,Ex2,1,513
3,Ex2,1,611
3,Ex2,1,647
3,Ex2,1,671
3,Ex2,1,578
3,Ex2,1,796
3,Ex2,1,647
3,Ex2,0,743
3,Ex2,1,787
3,Ex2,1,516
3,Ex2,1,826
3,Ex2,1,706
3,Ex2,1,509
3,Ex2,1,524
3,Ex2,1,613
3,Ex2,1,618
3,Ex2,1,514
3,Ex2,1,548
3,Ex2,1,630
3,Ex2,1,498
3,Ex2,1,783
3,Ex2,1,479
3,Ex2,1,611
3,Ex2,1,524
3,Ex2,1,595
3,Ex2,1,582
3,Ex2,1,530
3,Ex2,1,532
3,Ex2,1,713
3,Ex2,1,533
3,Ex2,1,512
3,Ex2,1,625
3,Ex2,1,550
3,Ex2,1,637
3,Ex2,1,606
3,Ex2,1,609
3,Ex2,1,530
3,Ex2,0,506
3,Ex2,1,711
3,Ex2,1,629
3,Ex2,1,490
3,Ex2,1,526
3,Ex2,1,598
3,Ex2,1,619
3,Ex2,1,715
3,Ex2,1,602
3,Ex2,1,555
3,Ex2,1,624
3,Ex2,1,608
3,Ex2,1,560
3,Ex2,1,633
3,Ex2,1,548
3,Ex2,1,689
3,Ex2,1,557
3,Ex2,1,544
3,Ex2,1,703
3,Ex2,1,583
3,Ex2,1,619
3,Ex2,1,603
